type,name,label,hint,required,relevant,appearance,calculation,constraint,constraint_message,parameters
date,Onboarding_Date,Onboarding Date,,true,,,,,,
text,Vyapaari_Phone_Number,Vyapaari Phone Number,,true,,,,"regex(., '^[0-9]{10}$')",Please enter a 10 digit phone number.,
text,Vyapaari_Alternate_Phone_Number,Vyapaari Alternate Phone Number,,false,,,,"regex(., '^[0-9]{10}$')",Please enter a 10 digit phone number.,
image,Vyapaari_Photograph,Vyapaari Photograph,,true,,,,,,max-pixels=1024
image,Vyapaari_Shop_Image,Vyapaari Establishment/Shop Photograph,,false,,,,,,max-pixels=1024
integer,Vyapaari_Age,Vyapaari Age,,true,,,,,,
select_one rg5vu15,Establishment_Type,Establishment / Shop Ownership,,true,,,,,,
text,Monthly_Rent,Monthly Rent Amount (in rupees),,false,${Establishment_Type} = 'rented',,,,,
select_one vz9bs41,shop_facility_type,Shop Facility Type,,true,,,,,,
text,Enter_Shop_facility_type,Enter Shop facility type,,true,${shop_facility_type} = 'other',,,,,
select_one hl3or19,SHG_Membership,SHG Membership,,true,,,,,,
text,SHG_Details,Name and Phone number of the SHG Incharge.,,true,${SHG_Membership} = 'yes',,,,,
select_one ih06p56,Vyapaari_Educational_Qualifica,Vyapaari Educational Qualification,,false,,,,,,
text,If_Others_mention_th_tional_qualification,"If Others,mention the educational qualification.",,true,${Vyapaari_Educational_Qualifica} = 'others',,,,,
select_one lk1mf89,Smartphone_Access,Smartphone Access,,true,,,,,,
select_one yv7mj02,Ability_to_use_smartphone_independently,Ability to use smartphone independently?,,true,,,,,,
text,Vyapaari_Bussiness_Description,Vyapaari Bussiness Description,Details on the type of Bussiness,false,,,,,,
integer,business_start_year,Current Business Start Year,,true,,,,,,
integer,business_total_staff,Total Staff / Employees,Total number of staffs (excluding the vyapaari),true,,,,,,
integer,Total_Family_Members_as_Staff_Employees,Total Family Members as Staff/Employees,Total number of family members working as staff,true,,,,,,
select_one uk7dq78,Holding_Accounting_Records,Holding Accounting Records,,false,,,,,,
select_one me8gz37,Holding_Sales_Records_past_one_year,Holding Sales Records (past one year),,false,,,,,,
text,business_location_challenges,Business Key Challenges,,true,,,,,,
end_group,,,,,,,,,,
begin_group,Secondary_Business_Onboarding,Secondary Business Onboarding Details,,false,${Secondary_Business} = 'yes' and ${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
note,Vyapaari_Secondary_Business_Description,Vyapaari Secondary Business Description,Details on the type of Bussiness,false,,,,,,
integer,Secondary_Business_Start_Year,Secondary Business Start Year,,true,,,,,,
integer,Total_Staff_Employ_n_Secondary_Business,Total Staff / Employees in Secondary Business,Total number of staffs (excluding the vyapaari),true,,,,,,
integer,Total_Family_Members_n_Secondary_Business,Total Family Members as Staff/Employees in Secondary Business,Total number of family members working as staff,true,,,,,,
select_one uk7dq78,Holding_Accounting_R_r_Secondary_Business,Holding Accounting Records for Secondary Business,,false,,,,,,
select_one me8gz37,Holding_Sales_Record_iness_past_one_year,Holding Sales Records for Secondary Business (past one year),,false,,,,,,
text,business_location_challenges_001,Business Key Challenges for Secondary Business,,true,,,,,,
end_group,,,,,,,,,,
begin_group,Primary_Business_Baseline_Deta,Primary Business Baseline Details,,false,${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
select_one ec5lx79,financial_bank_account,Registered Bank Account,,true,,,,,,
select_one ec5lx79,Digital_Payments,Digital Payments Setup,,true,,,,,,
integer,Daily_Working_Hours,Daily Working Hours,,true,,,,,,
integer,Working_days,Monthly Working Days,,true,,,,,,
integer,Monthly_Revenue_In_Rupees,Monthly Revenue (In Rupees),,false,,,,,,
integer,Monthly_Expense_In_Rupees,Monthly Expense (In Rupees),,false,,,,,,
integer,Monthly_Income_In_Rupees,Monthly Income (In Rupees),,false,,,,,,
select_one xr7pw24,Seasonal_Fluctuations_primary,Seasonal Fluctuations for Primary Business,,true,,,,,,
integer,Bussiness_Peak_Months_primary,Bussiness Peak Months for Primary Business,Number of months with peak business,true,${Seasonal_Fluctuations_primary} = 'yes',,,,,
integer,Peak_Month_Revenue_Primary,Business Peak Month Revenue for Primary Business,Revenue for the peak month,true,${Seasonal_Fluctuations_primary} = 'yes',,,,,
integer,Bussiness_Lean_Month_for_Primary_Business,Bussiness Lean Months for Primary Business,Number of months with lean business,true,${Seasonal_Fluctuations_primary} = 'yes',,,,,
integer,Lean_Month_Revenue_primary,Business Lean Month Revenue for Primary Business,Revenue for the lean month,true,${Seasonal_Fluctuations_primary} = 'yes',,,,,
select_one qq5tt82,Does_the_vyapaaris_have_Zero_,Does the vyapaaris have "Zero Income" in any months (Primary Business),,false,,,,,,
text,Zero_income_primary_months,"If Yes,mention the months of "Zero" income (Primary Business)",,true,${Does_the_vyapaaris_have_Zero_} = 'yes',,,,,
text,Reasons_for_zero_income_primar,Reasons for having "Zero" income (Primary Business),,true,${Does_the_vyapaaris_have_Zero_} = 'yes',,,,,
select_one tv7na48,Does_the_vyapaari_have_any_non,Does the vyapaari have any non-operational months? (Primary Business),,false,,,,,,
text,Mention_the_non_oper_hs_Primary_Business,Mention the non operational months (Primary Business),,true,${Does_the_vyapaari_have_any_non} = 'yes',,,,,
text,Reasons_for_being_no_tional_in_the_months,Reasons for being non operational in the months.,,true,${Does_the_vyapaari_have_any_non} = 'yes',,,,,
text,_Worksheet_for_Baseline,[Worksheet for Baseline details](https://drive.google.com/drive/folders/1K-RFcF0kMcIGypTETs5aH3cgkK32XIpi),Upload the working calculation proofs to the drive linked above,false,,,,,Enter a Valid URL,
end_group,,,,,,,,,,
begin_group,Secondary_Business_Baseline_De,Secondary Business Baseline Details,,false,${Secondary_Business} = 'yes' and ${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
select_one pj9sg47,Registered_Bank_Acco_r_Secondary_business,Registered Bank Account for Secondary business,,true,,,,,,
select_one wv1dy00,Digital_Payments_Set_r_Secondary_business,Digital Payments Setup for Secondary business,,true,,,,,,
integer,Daily_Working_Hours_r_Secondary_business,Daily Working Hours for Secondary business,,true,,,,,,
integer,Monthly_Working_Days_r_Secondary_business,Monthly Working Days for Secondary business,,true,,,,,,
integer,Monthly_Revenue_In_r_Secondary_business,Monthly Revenue (In Rupees) for Secondary business,,false,,,,,,
integer,Monthly_Expense_In_r_Secondary_business,Monthly Expense (In Rupees) for Secondary business,,false,,,,,,
integer,Monthly_Income_In_R_r_Secondary_business,Monthly Income (In Rupees) for Secondary business,,false,,,,,,
select_one za1au23,Seasonal_Fluctuations_for_Seco,Seasonal Fluctuations for Secondary Business,,true,,,,,,
integer,Bussiness_Peak_Month_r_Secondary_Business,Bussiness Peak Months for Secondary Business,Number of months with peak business,true,${Seasonal_Fluctuations_for_Seco} = 'yes',,,,,
integer,Peak_Month_Revenue_for_seconda,Business Peak Month Revenue for Secondary Business,Revenue for the peak month,true,${Seasonal_Fluctuations_for_Seco} = 'yes',,,,,
integer,Bussiness_Lean_Month_r_Secondary_Business,Bussiness Lean Months for Secondary Business,Number of months with lean business,true,${Seasonal_Fluctuations_for_Seco} = 'yes',,,,,
integer,Lean_Month_Revenue_for_seconda,Business Lean Month Revenue for Secondary Business,Revenue for the lean month,true,${Seasonal_Fluctuations_for_Seco} = 'yes',,,,,
select_one gb6qi68,Does_the_vyapaaris_have_Zero__001,Does the vyapaaris have "Zero Income" in any months (Secondary Business),,false,,,,,,
text,Zero_income_secondary,"If Yes,mention the months of "Zero" income (Secondary Business)",,false,${Does_the_vyapaaris_have_Zero__001} = 'yes',,,,,
text,Reasons_for_having_zero_second,Reasons for having zero income (Secondary Business),,true,${Does_the_vyapaaris_have_Zero__001} = 'yes',,,,,
select_one hd6by41,Secondary_non_operational,Does the vyapaari have any non-operational months?(Secondary Business),,true,,,,,,
text,Mention_Sec_non_operational_mo,Mention the non operational months (Secondary Business),,true,${Secondary_non_operational} = 'yes',,,,,
text,Reasons_for_sec_being_non_oper,Reasons for being non operational in the months.,,true,${Secondary_non_operational} = 'yes',,,,,
text,_Worksheet_for_Baseline_001,[Worksheet for Baseline details](https://drive.google.com/drive/folders/1K-RFcF0kMcIGypTETs5aH3cgkK32XIpi),Upload the working calculation proofs to the drive linked above,false,,,,"regex(., '^https?:\/\/(drive|docs)\.google\.com\/(drive|file|open)\S*$')",Enter a Valid URL,
end_group,,,,,,,,,,
select_one xy5ah83,Validation_Process_start_stats,Has the Validation Process started ?,,true,${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
begin_group,Validation_Data_status,Validation Status,,false,${Validation_Process_start_stats} = 'yes',,,,,
note,Important_Note_For_ressed_and_validated,"Important Note : For the questions below, ensure that the Baseline revenue,income,expenses and worksheet calculations have been addressed and validated.",Validation to be done by incharge only,false,,,,,,
note,Project_Incharge_Validation,Project Incharge Validation,,false,,,,,,
select_one py8ai49,First_validation_Incharge,Is the Baseline(Primary and Secondary) bussiness data and worksheet validated?,,true,,,,,,
date,Date_of_validation_Incharge,Date of validation (Incharge),,true,${First_validation_Incharge} = 'yes',,,,,
select_one qq0hm91,Data_validated_by_Incharge_,Data validated by (Incharge) :,,true,${First_validation_Incharge} = 'yes',,,,,
note,Project_Manager_Validation,Project Manager Validation,,false,,,,,,
select_one pf2ny54,Manager_validation_Approval,Is the Baseline(Primary and Secondary) bussiness data and worksheet validated and approved?,,true,,,,,,
date,Date_of_validation_Manager,Date of validation (Manager),,true,${Manager_validation_Approval} = 'yes',,,,,
select_one rt3wu05,Validated_by_Manager,Validated by (Manager),,true,${Manager_validation_Approval} = 'yes',,,,,
text,Additional_Information_Manager,Additional Information On Validation Status (Manager),,false,,,,,,
select_one js16u49,Vyapaari_Status_Active_Inactiv,Vyapaari Status,"Status of the Vyapaari ,whether active with the project",true,,,,,,
end_group,,,,,,,,,,
select_one rx9rp30,Type_of_Vyapaari_Onboarding1,Type of Vyapaari Onboarding,,true,${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
text,Group_SHG_Onboarded1,Name of the Group/SHG,,true,${Type_of_Vyapaari_Onboarding1} = 'group_shg',,,,,
text,Number_of_Members_in_Gro_SHG1,Number of Members in Group/SHG,,true,${Type_of_Vyapaari_Onboarding1} = 'group_shg',,,,,
begin_group,grp_household_baseline_details,Household Baseline Details,,false,${Is_the_Vyapaari_being_Onboarde} = 'yes',,,,,
integer,total_family_size,Total Family Size,,false,,,,,,
integer,total_children,Total Children,Only count family members below the age 18.,false,,,,,,
integer,total_earning_members,Earning Family Members,,false,,,,,,
text,education_level,Highest Education in the Family,"Add education level, and family member relation.",false,,,,,,
text,origin_city,Family City of Origin,"If immigrated from another city/state, mention the same.",false,,,,,,
end_group,,,,,,,,,,
begin_group,group_closing_details,Closing Details,,false,,field-list,,,,
text,vyapaari_other_details,Any other details about the business or from the conversation with the vyapaari?,,false,,multiline,,,,
end_group,,,,,,,,,,
