type,name,label,hint,required,relevant,constraint,constraint_message,parameters,appearance
text,Heard_about_LPG_Others,Mention where the vyapaari heard about the LPG press / iron box?,,true,${Got_to_know_about_LPG} = 'others__please_specify',,,,
select_multiple oe8lw83,vyapaari_lpg_benefits,Does the vyapaari know some of the benefits of the LPG press / iron box?,Select all the benefits known to the vyapaari.,true,${Vyapaari_lpg_awareness} = 'yes',,,,
text,vyapaari_lpg_benefits_manual,Any other benefits of the LPG press / iron box mentioned by the vyapaari.,,true,"selected(${vyapaari_lpg_benefits}, 'other')",,,,multiline
note,Vyapaari_lpg_benefits_mention,Note: Communicate the features and benefits of an LPG press / iron box to the vyapaari.,,false,"selected(${vyapaari_lpg_benefits}, 'none') or ${Vyapaari_lpg_awareness} = 'no' or not(selected(${_Iron_Box_Type}, 'lpg'))",,,,
select_one dx1un52,vyapaari_lpg_interest,Is the vyapaari interested in switching to an LPG press / iron box?,,true,"not(selected(${_Iron_Box_Type}, 'lpg'))",,,,
text,vyapaari_lpg_no,"If no, why is the vyapaari not interested in buying the LPG press / iron box?",,true,${vyapaari_lpg_interest} = 'no',,,,multiline
select_one xz4rg60,vyapaari_subsidy_interest_001,"If no, will the vyapaari be interested in switching to LPG at a later date?",,true,${vyapaari_lpg_interest} = 'no',,,,
date,vyapaari_purchase_follow_up,When can the vyapaari be reached again about purchasing the LPG press / iron box?,,true,${vyapaari_subsidy_interest_001} = 'yes',,,,month-year
select_one kw72q82,vyapaari_association,Is the vyapaari a part of any local ironing vyapaari association/sangha?,,true,,,,,
text,vyapaari_association_name,"If yes, can the vyapaari name the sangha and share their contact with us?","For example say,Delhi Dhobhi Sabha or Trans Hindon Dhobhi Sabha or others ",true,${vyapaari_association} = 'yes',,,,multiline
select_one sa5qh71,smartphone_availability,Smartphone Availability,,true,,,,,
select_one ox4jx23,Vyapaari_Native_Location,Vyapaari Native Location,Mention the native place of the vyapaari,true,,,,,
text,State_Name,"If Others, Mention the state name",,true,${Vyapaari_Native_Location} = 'others',,,,
select_one jw32z18,Interest_to_onboard,Is the vyapaari interested in the subsidy programme?,,true,,,,,
select_multiple mt4da19,Reason_for_not_interested,"If No, mention the reason why the vyapaari is not interested",,true,${Interest_to_onboard} = 'no',,,,
text,Reasons_for_not_interested,Mention the reasons why the vyapaaris is not interested.,,true,"selected(${Reason_for_not_interested}, 'others__specify_')",,,,
end_group,,,,,,,,,
begin_group,Onboarding_details,Onboarding Details,,false,${Interest_to_onboard} = 'yes',,,,
select_one rf7fb47,bank_account,Registered Bank Account,,true,,,,,
date,Onboarding_Date,Onboarding Date,,true,,,,,
select_one tb6hb03,vyapaari_digital_payments,"Digital Payments  (UPI,Bank transfers etc..)",,true,,,,,
select_one js3cq13,ID_Proof_Availability,Ration Card Availability,,true,,,,,
note,Subsidy_and_Pricing,Note : Explain to the Vyapaari about pricing and subsidy of Cast iron box and Brass iron box,,false,,,,,
select_one xi3rk57,Make_of_Iron_box,Preference of Press / Iron box,,true,,,,,
note,Note_Following_que_ils_of_the_vyapaaris,Note : Following questions will be recording the productivity details of the vyapaaris,,false,,,,,
integer,vyapaari_daily_clothes,Clothes Ironed Daily,No. of clothes ironed daily,true,,. <= 999,,,
integer,vyapaari_ironing_rates,Charge per Cloth Ironed,Cost of ironing a cloth,true,,. <= 99,,,
integer,vyapaari_monthly_days,Total working days in a month.,,true,,. <= 31,,,
select_one ym6on41,Full_time_Vyapaari,Is the vyapaari a full time Istri Vyapaari at the shop?,,true,,,,,
integer,vyapaari_shop_members,Total Staff / Employees,Input the number excluding the primary vyapaari.,true,,. <= 19,,,
select_one md5qv10,Family_Member_Employees,Family Member Employees,,true,,,,,
integer,No_of_family_members,Number of Family Member Employees?,,true,${Family_Member_Employees} = 'yes',,,,
select_one kk3iz64,Mode_of_family_employee,Mode of Family Member Employees?,,true,${Family_Member_Employees} = 'yes',,,,
integer,working_hours_family_member,Total working hours of Family Member Employees?,,true,${Family_Member_Employees} = 'yes' and ${Mode_of_family_employee} = 'partial_time',,,,
integer,Total_Hours_of_Working,Total Hours of Working ,Number of hours the vyapaari works in the shop,false,,,,,
select_one tn4xn47,Vyapaari_Other_Business,Is the Vyapaaris doing any other business apart from Pressing/ Istri ?,,true,,,,,
text,Mention_Other_Bussiness,"If Yes,what other business is the Vyapaari doing ?",,true,${Vyapaari_Other_Business} = 'yes',,,,
integer,How_much_is_earned_f_m_the_other_business,How much is earned from the other business?,,true,${Vyapaari_Other_Business} = 'yes',,,,
select_one iy3db53,Higher_Earnings,Which business is the Vyapaari earning more from ?,,true,${Vyapaari_Other_Business} = 'yes',,,,
note,Note_Collect_daily_tions_where_possible,Note: Collect daily over monthly data for next set of questions where possible.,,false,,,,,
integer,vyapaari_monthly_revenue,Monthly Revenue.,Answer the daily question if monthly data is not available.,false,,,,,
integer,vyapaari_daily_revenue,Daily Revenue.,Answer the monthly question if daily data is not available.,true,,,,,
integer,vyapaari_coal_expenses,Monthly amount spend on coal fuel purchase.,Answer the daily question if monthly data is not available.,false,,,,,
integer,vyapaari_coal_expenses_daily,Daily amount spend on coal fuel purchase.,Answer the monthly question if daily data is not available.,true,,,,,
integer,vyapaari_coal_quantity,Monthly quantity of coal used  (in kilograms),,true,,,,,
integer,How_much_time_in_mi_eating_up_coal_daily,Time spend on heating up coal daily (in minutes),Total heating time over multiple sessions.,true,,,,,
text,customer_numbers,Total number of households/customers.,,true,,,,,
end_group,,,,,,,,,
begin_group,Distribution_Details,Distribution Details,,false,${Interest_to_onboard} = 'yes',,,,
select_one pd3ic48,Delivery_Status,Is the LPG Subsidy Press/Iron box delivered ?,,true,,,,,
select_one bb2mb37,Incharge_Saathi_Distribution,Incharge Saathi Name (Distribution),,true,${Delivery_Status} = 'yes',,,,
text,Enter_Incharge_Saathi_name,Enter Incharge Saathi name,,true,${Incharge_Saathi_Distribution} = 'others',,,,
select_one we2xv33,Cohort,Cohort of Distribution,,true,${Delivery_Status} = 'yes',,,,
select_one cd4or97,Retailer_Name,Retailer Name ,,true,${Delivery_Status} = 'yes',,,,
text,Mention_the_Retailer_name,Mention the Retailer name,,true,${Retailer_Name} = 'others',,,,
select_one we2au49,Type_of_LPG_box_delivered,Type of LPG box delivered,,true,${Delivery_Status} = 'yes',,,,
date,Delivery_date,Date of Press/Iron box delivery,,true,${Delivery_Status} = 'yes',,,,
image,Distribution_Photo,Photo of Distribution,,true,${Delivery_Status} = 'yes',,,max-pixels=1024,
image,Acknowledgement_Photo,Photo of Acknowledgement.,,true,${Delivery_Status} = 'yes',,,max-pixels=1024,
image,Bill_Photo,Photo of Bill (Retailer Bill),,true,${Delivery_Status} = 'yes',,,max-pixels=1024,
image,Photo_of_LPG_Usage,Photo of LPG Usage,,false,${Delivery_Status} = 'yes',,,max-pixels=1024,
select_one dz9hn74,Vyapaari_Recommendation,Will the vyapaari recommend the LPG press / iron box to others in Future?,,false,,,,,
end_group,,,,,,,,,
note,Important_Note_For_harge_personnal_only,"Important Note : For the questions below, ensure that the documents have been addressed and validated by the Incharge personnal only",,false,${Delivery_Status} = 'yes',,,,
begin_group,Validation_Details,Validation Details,,false,${Delivery_Status} = 'yes',,,,
select_one np2am71,Distribution_documents_Validat,Is the Distribution documents verified ?,,true,,,,,
select_one ms0hf24,Validated_by,Validated by,,true,${Distribution_documents_Validat} = 'yes',,,,
date,Validation_Date,Validation Date ,,true,${Distribution_documents_Validat} = 'yes',,,,
select_multiple ri5yq77,Documents_Validated,Documents Validated,,true,${Distribution_documents_Validat} = 'yes',,,,
end_group,,,,,,,,,
text,Additional_Information,Any other details shared by the vyapaari?,,false,,,,,
